,module,complex_output,sequencer index,lo_freq (Hz),if (Hz),dc_mixer_offset_I,dc_mixer_offset_Q,mixer_amp_ratio,mixer_phase_error_deg
0,module3,out0,0,4837500000.0,-100000000.0,-10.143099999999999,-10.6007,0.9751000000000001,-24.26763
1,module4,out0,0,5146000000.0,-100000000.0,-11.4242,-5.0180000000000025,0.9805000000000001,-17.296329999999998
2,module5,out0,0,4400250000.0,-100000000.0,-4.6043,2.8827,0.9784,-18.85781
3,module6,out0,0,5214750000.0,-100000000.0,-12.118099999999998,-0.4186000000000014,0.9564999999999999,-12.611909999999995
4,module7,out0,0,4722750000.0,-100000000.0,-11.690999999999999,-7.633899999999999,0.9763999999999999,-25.343929999999997
5,module8,out0,0,5277166670.0,-100000000.0,-8.541400000000001,-2.3489000000000004,0.9545,-21.62042
6,module9,out0,0,4633500000.0,-100000000.0,-20.0189,-8.502299999999998,0.9725000000000001,-23.902579999999997
7,module10,out0,0,5312750000.0,-100000000.0,-8.407899999999998,-6.406099999999999,0.9444000000000001,-23.06178
8,module16,out0,0,6793000000.0,-100000000.0,-7.0733,0.7848000000000006,1.0046,9.969409999999996
9,module17,out0,0,6804000000.0,-100000000.0,-4.937999999999999,1.7005000000000017,1.0305,4.203970000000005
