qubit number,RO freq,f01 freq,f12 freq,RO1 freq,Ql,Rxy amp
q06,6832977467.13804,4641064844.634999,4506102035.700267,6832574326.204677,12178.56056750371,0.47722724786851695
q07,7086664566.798617,5063005321.420075,4818415267.163608,7086181505.556098,14459.901967691683,0.6149117980815526
q08,6392229864.347454,4386285230.315842,4233424498.179662,6391899141.562841,14400.319158642165,0.5178644058293413
q09,7269177041.378417,5317863179.375626,5069265641.352108,7268845303.558741,10387.206592626682,0.7104606954002343
q10,7258678857.001614,4506908337.353434,4362291559.558442,7258406697.951785,13420.646760645392,0.4339465808965662
q11,6987655004.389861,4985254508.596842,4746118068.643066,6987208574.792337,12255.59672429585,0.6159836187668282
q12,6437495784.291593,4558174507.937725,4409516301.058546,6437111059.069019,11801.31765990756,0.5145513309828484
q13,7120150038.934949,5206637520.95572,4954022572.739107,7119735715.101308,12078.44420693932,0.6872352036711725
q14,6595957363.633225,4543514315.825981,4389462613.216761,6595704129.737769,13776.588243991884,0.5520321895729174
q15,7237217642.230672,4951139918.301413,4702030393.092306,7236923996.874284,12647.689799079879,0.7673161074077864
