,module,complex_output,sequencer index,lo_freq (Hz),if (Hz),dc_mixer_offset_I,dc_mixer_offset_Q,mixer_amp_ratio,mixer_phase_error_deg
0,module2,out0,0,5162595472,-100000000.0,-11.2022,-3.232199999999999,0.9793000000000001,-15.04028
1,module3,out0,0,4485872796,-100000000.0,-7.749700000000001,-1.432500000000001,0.9642,-21.899359999999998
2,module4,out0,0,5417232910,-100000000.0,-7.162000000000001,-6.611099999999999,0.9628,-22.14727
3,module5,out0,0,4602133616,-100000000.0,-8.3373,-11.4226,0.9793000000000001,-31.89868
4,module6,out0,0,5085094684,-100000000.0,-9.586199999999998,-0.9549999999999983,0.9655,-27.601439999999997
5,module7,out0,0,4658426834,-100000000.0,0.0,0.0,0.5,0.0
6,module7,out0,0,4658426834,-100000000.0,-11.9001,-9.5494,0.9697,-22.477829999999997
7,module8,out0,0,5306017728,-100000000.0,-7.2355,-2.607800000000001,0.9476,-17.354200000000002
8,module9,out0,0,4644250149,-100000000.0,-10.353,-10.0086,0.966,-16.890500000000003
9,module10,out0,0,5051224449,-100000000.0,-7.253899999999998,-1.4002999999999979,0.9664,-22.26205
10,module1,out0,0,4741024916,-100000000.0,-10.9038,-2.180799999999998,0.9712000000000001,-21.36679
