,module,complex_output,sequencer index,lo_freq (Hz),if (Hz),dc_mixer_offset_I,dc_mixer_offset_Q,mixer_amp_ratio,mixer_phase_error_deg
0,module1,out0,0,3295000000.0,-100000000.0,-9.4222,-1.8745,1.0529,-18.3977
1,module2,out0,0,4048000000.0,-100000000.0,-7.0747,-0.6988,0.9932,-15.08723
2,module3,out0,0,3640000000.0,-376000000.0,-8.4842,-7.7684,0.9239,-25.46811
3,module4,out0,0,3640000000.0,299000000.0,-13.6342,-4.3587,0.9963,-19.17924
4,module5,out0,0,3640000000.0,-290000000.0,-9.5576,1.6357,0.9818,-10.75193
5,module6,out0,0,3884000000.0,-100000000.0,-10.2765,-0.0358,0.9834,-8.62137
6,module7,out0,0,3440000000.0,-100000000.0,-12.2135,-7.5652,1.0088,-27.72622
7,module8,out0,0,3640000000.0,293000000.0,-10.6234,-3.6365,0.9823,-9.56192
8,module9,out0,0,3640000000.0,-354000000.0,-19.4556,-4.1786,0.9399,-22.40543
9,module10,out0,0,3640000000.0,384000000.0,-11.1889,-7.0517,0.963,-12.76732
10,module16,out0,0,6775000000.0,200000000.0,-7.1444,0.3443,0.9912,12.97026
11,module16,out0,0,6775000000.0,-200000000.0,-6.9927,0.6522,0.9986,11.20603
12,module17,out0,0,6764500000.0,200000000.0,-4.5486,1.1747,0.9549,23.93885
13,module17,out0,0,6764500000.0,-200000000.0,-4.9992,1.2191,0.9647,0.42903
